,ASKHI,BIDLO,CFACPR,CFACSHR,OPENPRC,PERMNO,PRC,TICKER,Unnamed: 0,VOL,date
0,28.75,27.375,87.653366,15.28,,45356,27.375,TYC,860391.0,36000.0,1980/01/02
1,27.125,25.5,87.653366,15.28,,45356,26.625,TYC,860392.0,52000.0,1980/01/03
2,29.375,28.0,87.653366,15.28,,45356,28.875,TYC,860393.0,103200.0,1980/01/04
3,30.625,29.625,87.653366,15.28,,45356,30.375,TYC,860394.0,100500.0,1980/01/07
4,31.5,30.125,87.653366,15.28,,45356,31.5,TYC,860395.0,54400.0,1980/01/08
5,32.25,31.0,87.653366,15.28,,45356,31.0,TYC,860396.0,86700.0,1980/01/09
6,31.75,30.75,87.653366,15.28,,45356,31.125,TYC,860397.0,77100.0,1980/01/10
7,32.25,31.125,87.653366,15.28,,45356,31.125,TYC,860398.0,47800.0,1980/01/11
8,32.5,31.375,87.653366,15.28,,45356,31.75,TYC,860399.0,35300.0,1980/01/14
9,31.875,31.0,87.653366,15.28,,45356,31.0,TYC,860400.0,41200.0,1980/01/15
10,32.0,31.0,87.653366,15.28,,45356,31.25,TYC,860401.0,41200.0,1980/01/16
11,32.0,31.375,87.653366,15.28,,45356,31.75,TYC,860402.0,22600.0,1980/01/17
12,32.25,31.625,87.653366,15.28,,45356,31.75,TYC,860403.0,49900.0,1980/01/18
13,33.375,31.875,87.653366,15.28,,45356,33.125,TYC,860404.0,45400.0,1980/01/21
14,34.75,33.5,87.653366,15.28,,45356,33.625,TYC,860405.0,58500.0,1980/01/22
15,34.375,33.125,87.653366,15.28,,45356,33.875,TYC,860406.0,30600.0,1980/01/23
16,34.875,34.0,87.653366,15.28,,45356,34.0,TYC,860407.0,63200.0,1980/01/24
17,35.875,33.25,87.653366,15.28,,45356,35.5,TYC,860408.0,55400.0,1980/01/25
18,37.0,35.75,87.653366,15.28,,45356,36.125,TYC,860409.0,60600.0,1980/01/28
19,37.5,34.5,87.653366,15.28,,45356,35.375,TYC,860410.0,59800.0,1980/01/29
20,36.25,35.5,87.653366,15.28,,45356,35.5,TYC,860411.0,27700.0,1980/01/30
21,36.875,34.75,87.653366,15.28,,45356,34.75,TYC,860412.0,39900.0,1980/01/31
22,35.625,34.625,87.653366,15.28,,45356,35.375,TYC,860413.0,42400.0,1980/02/01
23,35.875,35.375,87.653366,15.28,,45356,35.375,TYC,860414.0,19100.0,1980/02/04
24,35.125,34.375,87.653366,15.28,,45356,34.875,TYC,860415.0,20400.0,1980/02/05
25,34.0,33.375,87.653366,15.28,,45356,33.875,TYC,860416.0,59900.0,1980/02/06
26,34.625,33.625,87.653366,15.28,,45356,34.0,TYC,860417.0,42100.0,1980/02/07
27,34.875,34.125,87.653366,15.28,,45356,34.875,TYC,860418.0,36300.0,1980/02/08
28,35.625,35.0,87.653366,15.28,,45356,35.25,TYC,860419.0,22200.0,1980/02/11
29,35.25,34.75,87.653366,15.28,,45356,35.0,TYC,860420.0,14100.0,1980/02/12
30,35.75,34.75,87.653366,15.28,,45356,35.125,TYC,860421.0,19900.0,1980/02/13
31,35.25,34.875,87.653366,15.28,,45356,35.0,TYC,860422.0,25000.0,1980/02/14
32,35.0,34.0,87.653366,15.28,,45356,34.625,TYC,860423.0,31200.0,1980/02/15
33,34.375,33.25,87.653366,15.28,,45356,33.875,TYC,860424.0,13600.0,1980/02/19
34,34.75,34.125,87.653366,15.28,,45356,34.625,TYC,860425.0,18700.0,1980/02/20
35,34.75,34.125,87.653366,15.28,,45356,34.125,TYC,860426.0,16800.0,1980/02/21
36,33.5,32.375,87.653366,15.28,,45356,32.375,TYC,860427.0,28000.0,1980/02/22
37,31.625,30.125,87.653366,15.28,,45356,30.375,TYC,860428.0,34900.0,1980/02/25
38,31.875,30.0,87.653366,15.28,,45356,31.875,TYC,860429.0,31800.0,1980/02/26
39,32.75,31.375,87.653366,15.28,,45356,31.625,TYC,860430.0,21100.0,1980/02/27
40,31.875,31.125,87.653366,15.28,,45356,31.875,TYC,860431.0,12300.0,1980/02/28
41,32.0,31.625,87.653366,15.28,,45356,32.0,TYC,860432.0,7700.0,1980/02/29
42,32.5,31.75,87.653366,15.28,,45356,32.25,TYC,860433.0,9500.0,1980/03/03
43,32.25,31.75,87.653366,15.28,,45356,32.0,TYC,860434.0,15100.0,1980/03/04
44,32.25,31.625,87.653366,15.28,,45356,31.875,TYC,860435.0,7800.0,1980/03/05
45,31.875,29.25,87.653366,15.28,,45356,29.75,TYC,860436.0,28000.0,1980/03/06
46,29.875,29.25,87.653366,15.28,,45356,29.875,TYC,860437.0,22600.0,1980/03/07
47,29.625,28.625,87.653366,15.28,,45356,28.875,TYC,860438.0,16600.0,1980/03/10
48,29.5,29.0,87.653366,15.28,,45356,29.125,TYC,860439.0,18500.0,1980/03/11
