,ticker,period,mktcap,tao1,tao2,vol
0,AAL_ALEXANDER & ALEXANDER SVCS INC,1.0,cap3,1937.53151714,2227.59388893,normalVol
1,AAL_AMERICAN AIRLINES GROUP INC,1.0,nan,,,normalVol
2,AAPL_APPLE INC,1.0,nan,,,normalVol
3,AAP_ADVANCE AUTO PARTS INC,1.0,nan,,,normalVol
4,AAV_AVATEX CORP,1.0,nan,,,normalVol
5,AA_ALCOA CORP,1.0,nan,,,normalVol
6,AA_ALCOA INC,1.0,nan,,,normalVol
7,ABBV_ABBVIE INC,1.0,nan,,,normalVol
8,ABC_AMERICAN BROADCASTING COS INC,1.0,cap4,1899.91424136,2863.27312114,increasingVol
9,ABC_AMERISOURCEBERGEN CORP,1.0,nan,,,normalVol
10,ABI_APPLIED BIOSYSTEMS INC DEL,1.0,nan,,,normalVol
11,ABS_ALBERTSONS INC,1.0,cap3,651.638133791,911.902975605,increasingVol
12,ABT_ABBOTT LABORATORIES,1.0,cap5,835.375652802,1126.91372858,increasingVol
13,ABX_BARRICK GOLD CORP,1.0,nan,,,normalVol
14,ACAS_AMERICAN CAPITAL LTD,1.0,nan,,,normalVol
15,ACF_A C F INDUSTRIES INC,1.0,nan,734.404582917,2069.24962056,increasingVol
16,ACK_ARMSTRONG HOLDINGS INC,1.0,nan,,,normalVol
17,ACN_ACCENTURE PLC IRELAND,1.0,nan,,,normalVol
18,ACS_AFFILIATED COMPUTER SERVICES INC,1.0,nan,,,normalVol
19,ACV_ALBERTO CULVER CO NEW,1.0,nan,,,normalVol
20,ACV_ALBERTO CULVER CO,1.0,cap1,597.904129719,919.481642598,increasingVol
21,ACY_AMERICAN CYANAMID CO,1.0,cap4,1976.52710817,2385.64285842,increasingVol
22,ADBE_ADOBE SYSTEMS INC,1.0,nan,212.350206815,285.495371282,increasingVol
23,ADCT_A D C TELECOMMUNICATIONS INC,1.0,nan,474.026182734,580.402167802,increasingVol
24,ADI_ANALOG DEVICES INC,1.0,cap2,805.70010875,1085.33907235,increasingVol
25,ADM_ARCHER DANIELS MIDLAND CO,1.0,cap4,1642.00686651,1809.43608645,normalVol
26,ADNT_ADIENT PLC,1.0,nan,,,normalVol
27,ADP_AUTOMATIC DATA PROCESSING INC,1.0,nan,,,normalVol
28,ADSK_AUTODESK INC,1.0,nan,,,normalVol
29,ADS_ALLIANCE DATA SYSTEMS CORP,1.0,nan,,,normalVol
30,ADT_A D T CORP,1.0,nan,,,normalVol
31,AD_AMSTED INDUSTRIES INC,1.0,cap2,917.175496868,1776.90898993,increasingVol
32,AEE_AMEREN CORP,1.0,nan,,,normalVol
33,AEP_AMERICAN ELECTRIC POWER CO INC,1.0,cap5,788.14836623,1223.92332839,increasingVol
34,AES_A E S CORP,1.0,nan,,,normalVol
35,AET_AETNA INC NEW,1.0,nan,,,normalVol
36,AET_AETNA INC,1.0,nan,,,normalVol
37,AFL_AFLAC INC,1.0,nan,,,normalVol
38,AFN_AMERIFIN CORP,1.0,nan,704.754735874,267.158698325,decreacingVol
39,AFS_ASSOCIATES FIRST CAPITAL CORP,1.0,nan,,,normalVol
40,AGC_AMERICAN GENERAL CORP,1.0,cap4,1558.95182649,2018.83795101,increasingVol
41,AGM_AMALGAMATED SUGAR CO,1.0,nan,172.233201581,456.867588933,increasingVol
42,AGN_ALLERGAN INC,1.0,nan,,,normalVol
43,AGN_ALLERGAN PLC,1.0,nan,,,normalVol
44,AHM_AHMANSON H F & CO,1.0,cap3,2406.95918821,3647.61861406,increasingVol
45,AHS_AMERICAN HOSPITAL SUPPLY CORP,1.0,cap5,1213.78651415,2169.57443131,increasingVol
46,AIG_AMERICAN INTERNATIONAL GROUP INC,1.0,nan,486.000850791,503.967796903,normalVol
47,AIT_AMERITECH CORP,1.0,nan,,,normalVol
48,AIV_APARTMENT INVESTMENT & MGMT CO,1.0,nan,,,normalVol
49,AIZ_ASSURANT INC,1.0,nan,,,normalVol
50,AJG_GALLAGHER ARTHUR J & CO,1.0,nan,,,normalVol
51,AKAM_AKAMAI TECHNOLOGIES INC,1.0,nan,,,normalVol
