date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1980-12-12,AAPL,APPLE COMPUTER INC,03783310,28.75,28.875,-28.8125,,C,56.0,56.0,,C
1980-12-15,AAPL,APPLE COMPUTER INC,03783310,27.25,27.375,-27.3125,,-0.052061,56.0,56.0,,-0.052061
1980-12-16,AAPL,APPLE COMPUTER INC,03783310,25.25,25.375,-25.3125,,-0.073227,56.0,56.0,,-0.073227
1980-12-17,AAPL,APPLE COMPUTER INC,03783310,25.875,26.0,-25.9375,,0.024691,56.0,56.0,,0.024691
1980-12-18,AAPL,APPLE COMPUTER INC,03783310,26.625,26.75,-26.6875,,0.028916,56.0,56.0,,0.028916
1980-12-19,AAPL,APPLE COMPUTER INC,03783310,28.25,28.375,-28.3125,,0.060890,56.0,56.0,,0.060890
1980-12-22,AAPL,APPLE COMPUTER INC,03783310,29.625,29.75,-29.6875,,0.048565,56.0,56.0,,0.048565
1980-12-23,AAPL,APPLE COMPUTER INC,03783310,30.875,31.0,-30.9375,,0.042105,56.0,56.0,,0.042105
1980-12-24,AAPL,APPLE COMPUTER INC,03783310,32.5,32.625,-32.5625,,0.052525,56.0,56.0,,0.052525
1980-12-26,AAPL,APPLE COMPUTER INC,03783310,35.5,35.625,-35.5625,,0.092131,56.0,56.0,,0.092131
1980-12-29,AAPL,APPLE COMPUTER INC,03783310,36.0,36.125,-36.0625,,0.014060,56.0,56.0,,0.014060
1980-12-30,AAPL,APPLE COMPUTER INC,03783310,35.125,35.25,-35.1875,,-0.024263,56.0,56.0,,-0.024263
1980-12-31,AAPL,APPLE COMPUTER INC,03783310,34.125,34.25,-34.1875,,-0.028419,56.0,56.0,,-0.028419
1981-01-02,AAPL,APPLE COMPUTER INC,03783310,34.5,34.75,-34.625,,0.012797,56.0,56.0,,0.012797
1981-01-05,AAPL,APPLE COMPUTER INC,03783310,33.75,33.875,-33.8125,,-0.023466,56.0,56.0,,-0.023466
1981-01-06,AAPL,APPLE COMPUTER INC,03783310,32.25,32.375,-32.3125,,-0.044362,56.0,56.0,,-0.044362
1981-01-07,AAPL,APPLE COMPUTER INC,03783310,30.875,31.0,-30.9375,,-0.042553,56.0,56.0,,-0.042553
1981-01-08,AAPL,APPLE COMPUTER INC,03783310,30.25,30.375,-30.3125,,-0.020202,56.0,56.0,,-0.020202
1981-01-09,AAPL,APPLE COMPUTER INC,03783310,31.875,32.0,-31.9375,,0.053608,56.0,56.0,,0.053608
1981-01-12,AAPL,APPLE COMPUTER INC,03783310,31.625,31.875,-31.75,,-0.005871,56.0,56.0,,-0.005871
1981-01-13,AAPL,APPLE COMPUTER INC,03783310,30.5,30.625,-30.5625,,-0.037402,56.0,56.0,,-0.037402
1981-01-14,AAPL,APPLE COMPUTER INC,03783310,30.625,30.75,-30.6875,,0.004090,56.0,56.0,,0.004090
1981-01-15,AAPL,APPLE COMPUTER INC,03783310,31.25,31.5,-31.375,,0.022403,56.0,56.0,,0.022403
1981-01-16,AAPL,APPLE COMPUTER INC,03783310,31.0,31.125,-31.0625,,-0.009960,56.0,56.0,,-0.009960
1981-01-19,AAPL,APPLE COMPUTER INC,03783310,32.875,33.0,-32.9375,,0.060362,56.0,56.0,,0.060362
1981-01-20,AAPL,APPLE COMPUTER INC,03783310,31.875,32.0,-31.9375,,-0.030361,56.0,56.0,,-0.030361
