date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1980-01-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.5,64.5,62.5,412000.0,-0.029126,4.0,4.0,,-0.029126
1980-01-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.25,63.5,63.5,610300.0,0.016000,4.0,4.0,,0.016000
1980-01-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,63.0,63.75,63.375,472800.0,-0.001969,4.0,4.0,,-0.001969
1980-01-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.625,63.375,63.125,353900.0,-0.003945,4.0,4.0,,-0.003945
1980-01-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.625,67.5,67.375,709400.0,0.067327,4.0,4.0,,0.067327
1980-01-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.375,68.0,65.375,808000.0,-0.029685,4.0,4.0,,-0.029685
1980-01-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.0,67.75,67.5,530400.0,0.032505,4.0,4.0,,0.032505
1980-01-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.625,68.25,67.0,545000.0,-0.007407,4.0,4.0,,-0.007407
1980-01-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.25,67.25,66.875,397700.0,-0.001866,4.0,4.0,,-0.001866
1980-01-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.5,70.25,70.125,937500.0,0.048598,4.0,4.0,,0.048598
1980-01-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.75,70.875,70.0,1502000.0,-0.001783,4.0,4.0,,-0.001783
1980-01-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.25,70.375,69.25,613000.0,-0.010714,4.0,4.0,,-0.010714
1980-01-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.625,69.75,69.625,653100.0,0.005415,4.0,4.0,,0.005415
1980-01-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.0,69.875,69.0,372200.0,-0.008977,4.0,4.0,,-0.008977
1980-01-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.0,69.875,69.0,422100.0,0.000000,4.0,4.0,,0.000000
1980-01-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.0,71.25,71.25,530200.0,0.032609,4.0,4.0,,0.032609
1980-01-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,70.125,71.5,70.625,547600.0,-0.008772,4.0,4.0,,-0.008772
1980-01-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.875,70.75,70.125,335900.0,-0.007080,4.0,4.0,,-0.007080
1980-01-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,70.125,72.0,71.0,364000.0,0.012478,4.0,4.0,,0.012478
1980-01-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.375,71.375,70.375,357700.0,-0.008803,4.0,4.0,,-0.008803
