date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1986-03-06,,,59491810,,,,,,,,,
1986-03-10,,,59491810,,,,,,,,,
1986-03-13,MSFT,MICROSOFT CORP,59491810,25.5,29.25,28.0,3597701.0,C,288.0,288.0,,C
1986-03-14,MSFT,MICROSOFT CORP,59491810,28.0,29.5,29.0,1077151.0,0.035714,288.0,288.0,,0.035714
1986-03-17,MSFT,MICROSOFT CORP,59491810,29.0,29.75,29.5,465719.0,0.017241,288.0,288.0,,0.017241
1986-03-18,MSFT,MICROSOFT CORP,59491810,28.5,29.75,28.75,232056.0,-0.025424,288.0,288.0,,-0.025424
1986-03-19,MSFT,MICROSOFT CORP,59491810,28.0,29.0,28.25,168024.0,-0.017391,288.0,288.0,,-0.017391
1986-03-20,MSFT,MICROSOFT CORP,59491810,27.25,28.25,27.5,204213.0,-0.026549,288.0,288.0,,-0.026549
1986-03-21,MSFT,MICROSOFT CORP,59491810,26.25,28.0,26.75,209942.0,-0.027273,288.0,288.0,,-0.027273
1986-03-24,MSFT,MICROSOFT CORP,59491810,25.75,26.75,26.0,228117.0,-0.028037,288.0,288.0,,-0.028037
1986-03-25,MSFT,MICROSOFT CORP,59491810,25.75,26.5,26.5,112026.0,0.019231,288.0,288.0,,0.019231
1986-03-26,MSFT,MICROSOFT CORP,59491810,26.25,27.5,27.25,79375.0,0.028302,288.0,288.0,,0.028302
1986-03-27,MSFT,MICROSOFT CORP,59491810,27.25,27.75,27.75,59203.0,0.018349,288.0,288.0,,0.018349
1986-03-31,MSFT,MICROSOFT CORP,59491810,27.0,27.75,27.5,45067.0,-0.009009,288.0,288.0,,-0.009009
1986-04-01,MSFT,MICROSOFT CORP,59491810,27.25,27.5,27.25,38670.0,-0.009091,288.0,288.0,,-0.009091
1986-04-02,MSFT,MICROSOFT CORP,59491810,27.25,28.0,27.5,94183.0,0.009174,288.0,288.0,,0.009174
1986-04-03,MSFT,MICROSOFT CORP,59491810,27.75,28.5,27.75,80528.0,0.009091,288.0,288.0,,0.009091
1986-04-04,MSFT,MICROSOFT CORP,59491810,27.75,28.0,27.75,92704.0,0.000000,288.0,288.0,,0.000000
1986-04-07,MSFT,MICROSOFT CORP,59491810,26.75,28.0,27.25,57855.0,-0.018018,288.0,288.0,,-0.018018
1986-04-08,MSFT,MICROSOFT CORP,59491810,27.25,28.0,27.5,35739.0,0.009174,288.0,288.0,,0.009174
1986-04-09,MSFT,MICROSOFT CORP,59491810,27.5,28.25,28.0,42583.0,0.018182,288.0,288.0,,0.018182
1986-04-10,MSFT,MICROSOFT CORP,59491810,27.5,28.5,28.25,48550.0,0.008929,288.0,288.0,,0.008929
1986-04-11,MSFT,MICROSOFT CORP,59491810,28.5,29.25,28.75,60151.0,0.017699,288.0,288.0,,0.017699
1986-04-14,MSFT,MICROSOFT CORP,59491810,28.75,29.25,29.0,42490.0,0.008696,288.0,288.0,,0.008696
1986-04-15,MSFT,MICROSOFT CORP,59491810,28.0,29.0,29.0,32648.0,0.000000,288.0,288.0,,0.000000
